_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
240,201801,S92000003,S08000019,Type 1,25-39,"",Male,"",,:,1
241,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",1,"",150
242,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",2,"",199
243,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",3,"",119
244,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",4,"",111
245,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",5,"",88
246,201801,S92000003,S08000019,Type 1,40-64,"",Female,"",,:,6
247,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",1,"",164
248,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",2,"",235
249,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",3,"",124
250,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",4,"",115
251,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",5,"",75
252,201801,S92000003,S08000019,Type 1,40-64,"",Male,"",,:,3
253,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",1,"",38
254,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",2,"",71
255,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",3,"",34
256,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",4,"",37
257,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",5,"",26
258,201801,S92000003,S08000019,Type 1,65-74,"",Female,"",,:,1
259,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",1,"",58
260,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",2,"",70
261,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",3,"",47
262,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",4,"",38
263,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",5,"",33
264,201801,S92000003,S08000019,Type 1,65-74,"",Male,"",,:,1
265,201801,S92000003,S08000019,Type 1,75 plus,"",Female,"",1,"",71
266,201801,S92000003,S08000019,Type 1,75 plus,"",Female,"",2,"",117
267,201801,S92000003,S08000019,Type 1,75 plus,"",Female,"",3,"",83
268,201801,S92000003,S08000019,Type 1,75 plus,"",Female,"",4,"",89
269,201801,S92000003,S08000019,Type 1,75 plus,"",Female,"",5,"",76
270,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",1,"",48
271,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",2,"",77
272,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",3,"",61
273,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",4,"",72
274,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",5,"",51
275,201801,S92000003,S08000019,Type 1,75 plus,"",Male,"",,:,1
276,201801,S92000003,S08000019,Type 1,Under 18,"",Female,"",1,"",73
277,201801,S92000003,S08000019,Type 1,Under 18,"",Female,"",2,"",103
278,201801,S92000003,S08000019,Type 1,Under 18,"",Female,"",3,"",46
279,201801,S92000003,S08000019,Type 1,Under 18,"",Female,"",4,"",50
280,201801,S92000003,S08000019,Type 1,Under 18,"",Female,"",5,"",56
281,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",1,"",94
282,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",2,"",114
283,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",3,"",65
284,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",4,"",74
285,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",5,"",71
286,201801,S92000003,S08000019,Type 1,Under 18,"",Male,"",,:,1
287,201801,S92000003,S08000019,Type 1,"",:,"",:,,:,361
288,201801,S92000003,S08000019,Type 3,18-24,"",Female,"",1,"",16
289,201801,S92000003,S08000019,Type 3,18-24,"",Female,"",2,"",12
290,201801,S92000003,S08000019,Type 3,18-24,"",Female,"",3,"",16
291,201801,S92000003,S08000019,Type 3,18-24,"",Female,"",4,"",16
292,201801,S92000003,S08000019,Type 3,18-24,"",Female,"",5,"",9
293,201801,S92000003,S08000019,Type 3,18-24,"",Male,"",1,"",14
294,201801,S92000003,S08000019,Type 3,18-24,"",Male,"",2,"",25
295,201801,S92000003,S08000019,Type 3,18-24,"",Male,"",3,"",18
296,201801,S92000003,S08000019,Type 3,18-24,"",Male,"",4,"",19
297,201801,S92000003,S08000019,Type 3,18-24,"",Male,"",5,"",15
298,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",1,"",23
299,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",2,"",41
300,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",3,"",25
301,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",4,"",11
302,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",5,"",8
303,201801,S92000003,S08000019,Type 3,25-39,"",Female,"",,:,2
304,201801,S92000003,S08000019,Type 3,25-39,"",Male,"",1,"",23
305,201801,S92000003,S08000019,Type 3,25-39,"",Male,"",2,"",38
306,201801,S92000003,S08000019,Type 3,25-39,"",Male,"",3,"",21
307,201801,S92000003,S08000019,Type 3,25-39,"",Male,"",4,"",29
