Year,MonthNum,HBT,Age,Sex,Deprivation,NumberOfAttendances,Population,Rate,log_offset,Date
2021,6,S08000020,40-64,Male,5,237,28527,8.307918813755391,10.258606286207554,2021-06-01
2021,6,S08000020,65-74,Female,1,11,1476,7.452574525745257,7.297091005160418,2021-06-01
2021,6,S08000020,65-74,Female,2,68,4626,14.699524427150886,8.439447842791385,2021-06-01
2021,6,S08000020,65-74,Female,3,60,7121,8.425782895660722,8.870803443982124,2021-06-01
2021,6,S08000020,65-74,Female,4,100,10111,9.890218573830483,9.2213792190914,2021-06-01
2021,6,S08000020,65-74,Female,5,113,9334,12.106278122991215,9.141418926509761,2021-06-01
2021,6,S08000020,65-74,Male,1,15,1407,10.660980810234541,7.249215057114389,2021-06-01
2021,6,S08000020,65-74,Male,2,87,4256,20.44172932330827,8.35608503102148,2021-06-01
2021,6,S08000020,65-74,Male,3,85,6767,12.560957588296144,8.819813136232225,2021-06-01
2021,6,S08000020,65-74,Male,4,123,9868,12.46453182002432,9.197052477649247,2021-06-01
2021,6,S08000020,65-74,Male,5,118,8955,13.176996091568956,9.099967314494812,2021-06-01
2021,6,S08000020,75 plus,Female,1,27,1327,20.346646571213263,7.190676034332207,2021-06-01
2021,6,S08000020,75 plus,Female,2,85,4186,20.305781175346393,8.339500903005945,2021-06-01
2021,6,S08000020,75 plus,Female,3,135,6516,20.718232044198896,8.782015969721936,2021-06-01
2021,6,S08000020,75 plus,Female,4,179,8052,22.23050173869846,8.993675786759683,2021-06-01
2021,6,S08000020,75 plus,Female,5,225,8194,27.459116426653647,9.011157458106817,2021-06-01
2021,6,S08000020,75 plus,Male,1,26,930,27.956989247311828,6.835184586147301,2021-06-01
2021,6,S08000020,75 plus,Male,2,76,2873,26.453184824225545,7.96311205897929,2021-06-01
2021,6,S08000020,75 plus,Male,3,114,4934,23.10498581272801,8.503905297089302,2021-06-01
2021,6,S08000020,75 plus,Male,4,145,6468,22.418058132343845,8.774622220696997,2021-06-01
2021,6,S08000020,75 plus,Male,5,157,6143,25.55754517336806,8.723068501163928,2021-06-01
2021,6,S08000020,Under 18,Female,1,45,3322,13.546056592414208,8.10832229017324,2021-06-01
2021,6,S08000020,Under 18,Female,2,179,8077,22.161693698155254,8.996775795442296,2021-06-01
